content_cost_ratio,competitor_moves,price_increase_pct,bundle_member,tenure_months,engagement_hours,support_tickets,region,plan_type,churn
0.557,0,2.27,0,20,57.9,0,NA,Standard,0
0.588,1,2.12,0,1,53.7,0,NA,Basic,0
0.513,0,3.78,0,5,21.6,0,EU,Premium,0
0.47,5,0.0,0,27,0.0,1,EU,Standard,1
0.471,3,2.73,0,8,47.4,0,NA,Standard,0
0.559,1,4.76,0,3,57.6,0,EU,Premium,1
0.565,1,1.95,0,28,41.0,0,APAC,Standard,0
0.553,1,3.37,0,17,58.2,1,NA,Premium,0
0.48,0,7.22,1,20,25.0,0,APAC,AdTier,0
0.534,3,3.66,0,2,38.1,0,EU,Basic,0
0.527,1,0.0,1,32,26.6,0,NA,Standard,0
0.533,0,0.18,0,6,58.9,1,EU,Premium,0
0.572,1,2.5,0,1,26.8,0,APAC,Standard,0
0.533,1,1.39,0,46,86.2,1,APAC,AdTier,0
0.561,0,3.21,1,1,35.0,2,EU,Basic,0
0.524,2,2.41,0,1,61.0,1,EU,AdTier,0
0.537,1,5.33,1,28,35.2,1,EU,Standard,0
0.558,2,0.82,1,77,71.8,1,NA,Standard,0
0.433,0,2.59,0,3,71.0,0,NA,Premium,1
0.501,4,3.43,0,9,38.5,1,LATAM,Premium,0
0.492,5,3.68,0,20,50.5,0,NA,Basic,0
0.482,3,3.29,0,10,70.5,3,EU,Premium,0
0.503,2,0.0,1,75,51.1,1,NA,Basic,0
0.61,1,3.17,1,97,26.6,0,APAC,Standard,0
0.468,1,2.7,0,1,46.4,1,EU,Standard,0
0.578,4,4.73,0,14,30.0,0,NA,Premium,0
0.419,2,4.45,0,38,48.0,1,NA,Premium,0
0.5,3,3.48,1,6,29.3,0,NA,Premium,0
0.53,2,3.63,0,3,52.5,0,EU,Standard,0
0.555,2,5.7,1,5,9.2,1,EU,Standard,0
0.563,1,5.3,0,8,22.6,0,APAC,Standard,0
0.568,3,3.55,1,28,29.1,2,NA,Standard,0
0.499,3,7.29,0,1,41.8,0,APAC,Standard,1
0.492,2,1.74,0,3,14.8,1,NA,AdTier,0
0.571,1,0.63,1,15,27.3,1,APAC,Standard,1
0.509,5,2.98,1,21,60.6,2,NA,Premium,0
0.443,5,2.25,0,1,62.9,0,APAC,Premium,0
0.452,3,0.0,1,35,0.0,0,NA,Standard,0
0.465,3,1.7,0,3,33.3,0,EU,Basic,1
0.55,2,3.69,0,35,70.5,0,EU,Basic,0
0.529,1,2.88,0,19,52.7,0,EU,Standard,0
0.561,2,1.45,0,11,53.1,0,LATAM,Standard,0
0.494,1,3.08,1,1,56.3,0,EU,Standard,0
0.53,2,3.25,0,19,25.8,0,NA,Premium,0
0.558,3,4.43,0,7,49.3,1,EU,Standard,1
0.501,2,1.72,1,4,54.4,0,NA,Standard,0
0.547,5,4.75,0,72,47.1,0,NA,Basic,1
0.48,2,0.82,0,19,37.1,0,NA,Standard,0
0.498,2,1.99,0,6,44.0,0,EU,Standard,0
0.497,2,6.4,1,3,22.2,0,LATAM,Basic,0
0.448,3,0.95,0,7,57.3,0,NA,AdTier,0
0.549,2,1.68,1,18,16.3,0,APAC,Standard,1
0.492,1,0.49,1,15,28.7,0,APAC,Premium,0
0.521,1,1.35,1,12,58.6,1,EU,Premium,0
0.549,3,3.28,1,6,50.8,1,EU,Basic,0
0.547,1,4.41,0,1,35.3,0,APAC,Premium,1
0.56,4,2.96,1,18,10.8,1,NA,Basic,1
0.514,1,2.35,0,40,44.1,0,LATAM,Basic,0
0.495,3,0.51,0,36,32.4,1,NA,Basic,0
0.515,2,1.55,0,24,54.6,0,NA,Premium,0
0.419,0,0.0,1,16,34.7,4,APAC,Standard,0
0.433,0,4.47,0,36,10.0,0,NA,Premium,0
0.441,2,4.61,1,9,17.3,0,NA,Premium,0
0.46,2,2.92,1,1,36.5,0,NA,Basic,0
0.544,3,3.88,0,17,47.2,1,NA,Premium,0
0.466,3,4.75,0,4,21.7,0,NA,Basic,1
0.497,4,3.2,0,5,29.8,1,NA,Basic,1
0.598,4,5.79,0,30,60.8,0,NA,Standard,0
0.499,2,0.95,1,8,67.2,1,EU,Basic,0
0.564,4,2.3,0,18,50.5,1,NA,Premium,0
0.464,2,2.06,0,71,39.3,0,APAC,Premium,0
0.508,2,4.29,0,57,32.6,0,APAC,Premium,0
0.463,4,0.13,0,27,55.8,0,APAC,AdTier,0
0.5,4,5.9,0,33,38.7,0,NA,Standard,0
0.57,0,4.12,0,29,63.4,1,EU,Standard,1
0.416,2,6.5,1,12,64.5,0,NA,Standard,0
0.546,2,2.92,0,28,53.2,0,LATAM,Basic,0
0.534,5,1.9,0,19,35.0,1,NA,Premium,0
0.484,0,4.31,0,39,36.6,0,NA,Standard,0
0.433,4,5.06,1,7,12.1,2,NA,Premium,0
0.524,1,1.57,1,50,43.9,0,LATAM,Standard,0
0.488,2,0.0,0,30,43.3,0,NA,Premium,0
0.534,3,0.0,0,4,17.4,0,NA,Standard,0
0.521,2,3.52,1,35,92.3,1,NA,Basic,1
0.616,1,6.08,1,93,56.1,0,APAC,Standard,0
0.506,3,0.4,1,10,28.2,0,EU,Standard,0
0.459,1,2.46,1,9,86.1,0,LATAM,Standard,0
0.531,1,2.3,0,27,35.1,0,LATAM,Basic,0
0.533,2,6.84,0,38,61.6,0,APAC,Standard,0
0.602,2,7.52,1,25,46.8,1,NA,Basic,0
0.57,0,3.85,0,2,35.8,1,LATAM,Standard,0
0.541,1,4.8,0,1,38.3,1,EU,Premium,0
0.608,2,4.74,1,21,73.7,0,EU,Standard,0
0.449,1,0.44,1,13,62.5,0,EU,Standard,0
0.482,3,4.4,0,29,42.6,1,APAC,AdTier,1
0.464,1,0.96,1,11,4.0,1,LATAM,Basic,0
0.497,0,2.66,0,19,51.1,2,LATAM,Premium,0
0.437,4,5.28,1,40,20.1,1,EU,Premium,0
0.558,2,3.16,1,5,55.8,0,NA,Standard,0
0.507,1,5.2,1,19,30.7,0,LATAM,Standard,0
0.432,2,5.6,1,21,32.8,0,NA,Standard,0
0.459,3,0.0,1,9,32.2,1,EU,Standard,0
0.539,1,0.0,1,1,65.4,0,NA,Basic,0
0.57,1,5.32,0,39,9.7,0,NA,Standard,0
0.64,2,5.4,0,7,59.8,2,EU,Standard,1
0.695,1,3.51,0,2,51.8,2,APAC,Standard,1
0.545,4,3.78,0,5,43.5,0,LATAM,Basic,0
0.461,4,4.79,1,1,36.0,0,LATAM,Standard,0
0.4,3,4.75,0,51,54.7,1,EU,Standard,0
0.536,6,2.39,1,24,36.2,0,NA,Premium,1
0.471,1,4.91,0,1,36.0,1,EU,Premium,0
0.495,0,2.31,0,45,46.3,2,NA,Standard,0
0.483,3,3.49,0,21,79.4,1,EU,Basic,0
0.512,4,3.4,0,1,14.7,1,LATAM,Standard,1
0.584,1,1.28,0,23,55.0,0,EU,Premium,0
0.529,0,1.51,0,2,42.1,0,NA,Standard,1
0.51,1,7.47,0,34,40.6,1,EU,Premium,0
0.458,0,1.22,1,11,14.5,0,NA,Premium,0
0.42,1,3.74,0,18,9.9,1,NA,Standard,0
0.491,1,4.16,1,30,51.8,1,APAC,Standard,0
0.517,2,2.89,1,18,19.6,3,NA,Basic,0
0.626,0,4.34,0,14,65.3,1,EU,Premium,1
0.528,2,3.66,0,33,24.7,0,APAC,Standard,0
0.579,0,1.26,1,21,56.0,0,NA,Standard,0
0.49,1,4.07,1,23,33.5,2,EU,Basic,0
0.449,2,1.91,0,17,32.5,1,EU,Premium,0
0.462,2,6.48,1,11,26.7,0,EU,AdTier,1
0.476,0,3.86,0,19,53.7,1,LATAM,Standard,0
0.648,1,1.6,0,12,59.3,1,APAC,Standard,0
0.471,3,3.68,0,47,38.7,0,NA,Standard,0
0.57,2,1.15,1,1,56.8,1,EU,Standard,0
0.466,3,3.52,0,21,45.3,1,NA,Standard,0
0.576,0,2.55,0,4,18.3,0,NA,AdTier,0
0.543,3,1.35,0,1,52.6,1,NA,AdTier,0
0.511,2,1.32,0,8,39.0,1,NA,Premium,0
0.518,1,7.87,0,4,0.0,0,EU,Basic,1
0.481,0,3.18,0,9,37.2,0,EU,Standard,0
0.547,0,2.14,1,6,11.1,1,NA,Basic,0
0.493,4,1.79,1,26,20.4,1,APAC,Standard,0
0.446,2,3.94,0,25,40.0,0,APAC,Standard,0
0.443,4,1.72,0,2,43.5,1,APAC,Standard,0
0.53,1,0.81,0,22,28.3,0,NA,AdTier,0
0.615,3,2.94,1,45,55.5,0,NA,AdTier,0
0.53,1,2.92,0,8,42.7,2,NA,Standard,1
0.513,2,2.17,1,2,36.5,1,NA,Premium,0
0.537,3,1.22,0,22,45.9,0,LATAM,AdTier,0
0.598,2,2.22,0,5,69.1,1,EU,AdTier,0
0.533,4,2.06,0,5,2.0,0,EU,Premium,1
0.495,1,1.78,1,15,71.0,0,EU,Basic,0
0.586,4,3.55,0,25,32.7,1,EU,Premium,1
0.546,0,7.45,0,12,29.4,1,LATAM,Standard,1
0.612,3,5.66,0,26,37.0,2,NA,Standard,1
0.531,1,6.88,1,13,27.3,0,APAC,AdTier,0
0.447,2,1.86,0,2,24.2,1,EU,Premium,0
0.438,2,6.35,1,15,61.9,2,NA,AdTier,0
0.619,2,3.45,1,7,48.2,0,EU,Basic,1
0.623,2,4.97,0,39,6.6,0,EU,Premium,1
0.509,1,3.92,0,27,58.5,0,NA,Standard,0
0.497,2,2.31,0,30,55.6,0,NA,Standard,0
0.608,5,4.44,1,6,15.3,1,EU,AdTier,0
0.454,2,3.97,1,26,48.6,0,APAC,Premium,0
0.466,2,0.0,1,14,57.4,0,EU,Standard,0
0.559,2,2.75,0,15,12.9,0,NA,AdTier,0
0.496,4,4.74,1,79,50.7,1,EU,Premium,0
0.52,1,3.55,0,9,31.5,0,LATAM,Standard,0
0.51,3,3.94,1,2,55.8,0,LATAM,Basic,1
0.54,1,1.5,0,36,26.3,0,NA,Premium,0
0.604,0,3.51,0,59,65.8,1,NA,Standard,1
0.525,0,2.81,1,11,40.1,2,EU,Standard,1
0.559,0,2.59,0,4,32.7,0,NA,Basic,0
0.4,3,1.64,1,12,30.5,0,APAC,Premium,0
0.517,0,4.83,0,1,62.5,1,NA,Premium,0
0.469,3,3.69,1,8,30.5,0,NA,Premium,0
0.447,0,3.49,0,35,66.2,0,APAC,Premium,0
0.467,3,7.1,0,16,49.3,1,NA,Basic,1
0.5,0,3.95,0,5,17.3,0,NA,Standard,0
0.575,3,5.4,1,36,45.5,0,APAC,Premium,0
0.44,4,3.55,1,1,45.9,0,NA,Premium,0
0.522,2,2.29,0,2,16.6,1,EU,Standard,1
0.491,3,0.88,0,7,45.2,2,NA,Standard,0
0.5,3,3.48,0,17,55.8,1,NA,Premium,0
0.58,2,0.0,1,44,67.6,1,NA,Basic,1
0.552,3,3.54,1,1,66.7,0,NA,Basic,0
0.6,3,3.63,1,18,92.8,2,EU,Standard,0
0.511,4,2.56,0,4,45.0,0,LATAM,Standard,0
0.478,1,2.82,0,1,56.1,0,APAC,Standard,0
0.507,1,0.5,0,1,32.9,1,APAC,Premium,0
0.535,2,5.77,1,32,82.7,0,EU,AdTier,0
0.531,5,2.33,0,24,27.2,1,APAC,Basic,1
0.455,1,1.06,0,9,81.8,0,EU,Standard,0
0.525,1,4.09,1,1,79.2,0,LATAM,AdTier,1
0.534,1,3.22,0,24,29.3,0,EU,AdTier,0
0.671,1,2.28,0,25,65.7,0,EU,Standard,0
0.633,0,2.07,0,2,54.1,2,NA,Premium,0
0.469,4,2.99,1,17,36.8,1,APAC,Basic,0
0.503,2,5.69,1,36,42.3,0,NA,Premium,0
0.432,4,3.94,0,78,50.3,0,APAC,AdTier,0
0.485,2,2.93,0,17,52.2,0,APAC,Standard,0
0.539,1,4.7,0,14,74.9,0,NA,Standard,0
0.592,6,3.06,1,31,56.4,0,NA,Basic,0
0.476,1,3.8,0,27,29.6,2,LATAM,Standard,1
0.481,1,3.3,0,27,59.9,1,NA,Standard,1
0.4,3,4.18,0,5,10.0,0,APAC,Standard,0
0.51,2,2.11,1,40,37.3,0,NA,Standard,0
0.456,1,0.72,0,77,39.2,0,EU,AdTier,0
0.488,1,4.81,0,12,58.2,0,LATAM,AdTier,1
0.467,0,6.01,0,29,80.4,0,EU,Standard,0
0.514,2,0.82,1,33,49.4,0,EU,Premium,0
0.415,2,3.36,1,42,37.8,0,EU,Standard,0
0.432,1,2.1,1,5,31.0,0,NA,Premium,0
0.648,4,4.77,0,14,61.7,1,NA,Premium,0
0.443,1,3.49,0,47,41.1,1,EU,Premium,0
0.454,1,9.65,0,20,34.9,2,APAC,Basic,0
0.63,2,2.4,1,11,64.0,1,EU,Premium,0
0.694,0,6.07,1,9,68.4,0,EU,Standard,1
0.45,5,6.27,0,35,25.8,0,NA,Premium,1
0.498,2,4.07,0,11,15.1,0,NA,AdTier,1
0.54,2,3.07,0,12,43.0,1,NA,Standard,0
0.624,1,3.19,1,14,22.2,1,LATAM,AdTier,1
0.461,0,3.02,0,14,19.5,0,EU,Premium,1
0.505,1,5.27,0,11,24.2,0,APAC,Premium,0
0.567,3,1.25,0,18,65.9,0,NA,Basic,1
0.546,2,2.68,0,12,58.0,1,EU,Basic,0
0.497,5,2.44,0,3,94.1,0,NA,AdTier,0
0.512,5,0.0,1,1,32.2,3,LATAM,Premium,1
0.438,2,4.72,1,11,71.6,1,NA,Standard,0
0.506,3,5.13,0,19,54.9,0,NA,Basic,0
0.504,1,1.73,0,1,33.9,1,NA,Basic,1
0.534,2,5.06,1,35,42.1,0,NA,Premium,0
0.487,3,0.0,1,41,33.8,0,NA,Standard,0
0.548,5,3.05,1,24,50.2,0,LATAM,Standard,0
0.581,2,2.75,1,6,64.7,0,LATAM,Premium,0
0.529,2,3.18,1,15,37.6,1,EU,Standard,0
0.541,7,3.17,1,17,62.0,0,APAC,Standard,0
0.523,3,2.85,0,10,70.4,0,NA,Basic,0
0.52,3,2.22,0,6,74.9,0,APAC,Standard,1
0.477,1,2.78,0,34,21.5,0,NA,Premium,0
0.539,1,5.73,1,22,44.0,0,EU,Standard,0
0.514,2,1.84,1,38,59.2,2,NA,Standard,0
0.646,3,7.51,1,8,23.3,0,LATAM,Standard,0
0.614,2,1.73,0,33,18.8,2,NA,Premium,1
0.543,0,3.48,0,2,44.5,1,NA,Standard,0
0.474,2,4.14,1,7,36.7,0,NA,AdTier,0
0.453,5,2.42,1,17,41.6,0,EU,Standard,0
0.591,2,5.76,1,12,35.6,0,EU,Basic,1
0.536,0,4.09,0,25,88.2,1,EU,Basic,0
0.549,0,2.59,1,11,35.8,1,APAC,AdTier,1
0.415,0,5.74,1,18,56.7,1,APAC,Basic,0
0.576,2,0.97,1,13,55.4,0,EU,Premium,0
0.547,5,1.87,1,3,11.2,1,EU,AdTier,1
0.453,5,4.13,1,35,74.3,0,LATAM,Premium,0
0.492,1,4.6,0,11,57.5,0,EU,Standard,0
0.536,0,3.65,0,37,48.1,0,NA,Standard,0
0.523,1,2.75,0,11,66.1,0,EU,Basic,0
0.502,1,2.5,0,7,44.0,1,EU,Standard,1
0.514,3,5.26,1,46,62.6,0,LATAM,Standard,0
0.505,0,3.48,1,1,7.5,0,NA,Standard,0
0.529,0,1.26,0,34,61.4,1,EU,Premium,0
0.608,4,1.14,1,7,48.7,0,EU,Premium,0
0.4,0,6.03,0,1,49.0,1,APAC,Basic,0
0.506,2,1.56,0,4,28.2,0,NA,Standard,0
0.531,2,3.55,1,7,40.6,0,LATAM,Premium,0
0.538,1,5.7,0,8,40.0,1,NA,AdTier,0
0.498,0,4.08,1,15,22.2,0,NA,Premium,0
0.415,1,1.48,1,5,52.2,1,EU,AdTier,0
0.54,0,0.97,0,5,76.5,0,NA,Premium,0
0.624,4,6.74,0,40,16.6,0,NA,AdTier,0
0.428,0,0.92,0,2,54.8,1,LATAM,AdTier,0
0.572,3,1.89,1,1,36.6,1,EU,Premium,1
0.5,2,3.75,0,9,34.3,0,LATAM,Premium,0
0.516,2,2.56,1,24,46.5,1,NA,Standard,0
0.457,1,4.15,1,22,46.8,1,NA,AdTier,0
0.5,2,0.06,0,4,48.7,0,NA,Premium,0
0.598,2,2.58,0,46,22.4,1,NA,AdTier,0
0.555,0,4.36,0,6,66.8,0,EU,Standard,0
0.624,1,4.36,0,5,46.6,0,LATAM,Standard,0
0.591,4,1.86,0,72,56.9,0,NA,Basic,0
0.546,2,0.96,1,1,69.3,0,APAC,AdTier,0
0.625,2,3.43,1,11,6.6,1,EU,Premium,0
0.546,1,0.38,0,21,57.6,0,NA,Premium,0
0.57,1,5.57,0,19,41.7,1,NA,Standard,0
0.502,4,3.31,0,2,65.4,0,EU,Basic,0
0.524,3,1.61,1,2,29.0,0,NA,AdTier,1
0.478,1,0.89,1,6,63.7,1,EU,Standard,0
0.579,4,1.73,1,24,23.9,0,EU,Standard,1
0.449,1,0.0,0,22,53.0,0,NA,AdTier,0
0.567,1,3.99,1,11,50.7,0,NA,Standard,0
0.509,0,1.39,1,5,41.9,0,APAC,Basic,0
0.59,1,3.8,0,14,24.4,0,EU,Standard,0
0.565,1,4.08,0,20,37.6,0,EU,Standard,0
0.629,1,4.93,0,1,63.5,0,NA,AdTier,1
0.564,2,3.5,1,9,74.8,0,APAC,AdTier,0
0.426,2,5.25,0,46,84.1,0,EU,Standard,0
0.516,4,5.77,0,60,55.5,0,LATAM,Standard,0
0.45,2,3.52,0,19,50.0,1,APAC,Standard,0
0.489,1,3.64,0,2,54.0,0,EU,Standard,0
0.611,4,1.89,1,37,83.6,0,EU,Premium,0
0.558,2,1.02,0,16,55.4,0,NA,Basic,0
0.478,2,5.56,0,35,46.7,2,EU,Basic,1
0.459,1,4.21,1,51,39.5,1,EU,Standard,0
0.522,1,4.37,1,3,41.8,1,EU,Basic,1
0.447,2,1.82,0,36,52.7,0,LATAM,Basic,0
0.48,3,6.25,0,7,30.0,1,EU,Standard,1
0.539,4,2.54,0,46,32.5,1,NA,AdTier,0
0.589,5,1.4,0,3,43.7,0,NA,Premium,0
0.557,3,1.85,1,12,36.0,0,NA,Basic,1
0.4,1,6.14,1,8,56.9,0,LATAM,Basic,0
0.538,4,0.78,0,1,58.5,0,NA,Premium,1
0.524,2,1.5,0,25,50.3,0,APAC,Standard,0
0.545,0,8.8,0,1,54.8,0,EU,Standard,0
0.617,3,4.88,1,5,47.4,1,LATAM,Premium,0
0.4,1,1.53,0,9,0.0,0,EU,AdTier,0
0.485,0,0.84,0,34,27.5,0,APAC,Basic,0
0.555,3,0.0,0,27,59.1,0,EU,Basic,0
0.425,2,3.19,1,11,28.2,0,NA,Standard,0
0.609,0,4.46,1,25,62.1,0,EU,Standard,0
0.542,1,6.04,0,6,63.2,0,NA,Basic,1
0.571,1,0.0,1,11,39.7,0,NA,Standard,0
0.486,2,0.35,1,13,33.2,0,NA,Standard,0
0.569,4,2.76,0,5,45.2,1,NA,Basic,0
0.584,4,8.58,1,21,44.1,2,EU,AdTier,0
0.534,0,4.77,1,18,57.5,1,EU,AdTier,0
0.534,3,3.75,0,20,0.0,1,LATAM,Standard,0
0.536,0,0.55,1,58,30.3,0,EU,AdTier,0
0.468,1,0.0,0,5,24.8,1,APAC,Standard,0
0.511,4,3.08,0,28,0.0,0,EU,Premium,0
0.511,0,2.8,0,5,35.1,0,EU,Premium,0
0.543,3,2.46,1,1,15.0,0,EU,Standard,0
0.58,1,2.24,1,4,37.3,0,APAC,Premium,0
0.456,1,1.5,0,16,35.2,2,NA,Standard,0
0.512,1,1.04,0,44,54.1,1,NA,Standard,0
0.609,0,5.78,0,35,40.0,0,APAC,AdTier,1
0.475,1,1.23,1,26,11.2,1,NA,Standard,0
0.471,2,2.45,0,30,51.9,0,NA,AdTier,1
0.532,1,2.92,1,12,93.4,1,NA,Premium,0
0.571,3,4.41,0,10,66.5,0,NA,Standard,1
0.521,3,1.3,0,1,58.6,1,NA,Premium,0
0.6,5,4.96,0,2,41.1,2,NA,Basic,0
0.571,3,1.84,0,11,35.2,1,LATAM,Standard,0
0.571,3,2.68,0,30,33.8,0,APAC,Basic,0
0.553,3,6.29,1,4,49.8,1,NA,Basic,1
0.66,3,1.06,0,58,22.3,0,NA,Standard,0
0.508,1,4.44,0,24,49.4,0,LATAM,Basic,0
0.4,3,5.01,1,49,31.7,0,EU,AdTier,0
0.616,2,3.62,0,27,10.7,0,EU,AdTier,0
0.493,2,2.76,1,9,31.4,1,EU,Basic,0
0.526,3,7.25,1,26,70.0,1,NA,Basic,0
0.599,1,2.97,1,12,47.8,1,NA,AdTier,0
0.424,1,3.41,0,1,0.0,2,EU,Basic,0
0.445,3,2.33,0,11,31.5,0,EU,AdTier,0
0.424,1,3.3,0,7,63.1,0,LATAM,Standard,0
0.472,1,4.93,0,20,39.0,1,NA,Standard,0
0.546,1,2.45,0,6,55.5,0,NA,Basic,0
0.551,3,0.0,0,6,37.1,0,LATAM,Standard,0
0.537,5,4.03,0,7,48.7,2,APAC,Premium,1
0.435,2,0.84,1,3,45.7,0,NA,Standard,0
0.4,1,4.48,1,10,32.1,1,NA,AdTier,0
0.523,2,3.0,0,14,56.4,1,EU,Standard,0
0.492,2,4.89,1,18,75.6,2,NA,Premium,0
0.548,3,1.1,1,69,52.7,0,APAC,Premium,0
0.562,1,1.93,0,3,47.1,2,NA,Standard,1
0.528,0,2.32,1,2,28.1,2,NA,Premium,0
0.566,3,0.04,1,1,63.8,0,EU,AdTier,0
0.534,2,5.22,1,12,34.8,0,APAC,AdTier,0
0.552,1,0.0,1,45,56.2,0,LATAM,Basic,0
0.478,3,5.19,0,18,60.2,0,EU,Premium,0
0.509,3,3.85,0,30,64.8,0,NA,Premium,0
0.532,3,2.6,1,1,65.1,1,EU,Premium,0
0.569,0,3.69,0,8,64.4,0,NA,AdTier,0
0.496,2,3.64,0,13,19.9,0,NA,Basic,0
0.551,1,2.2,1,34,27.8,1,NA,Premium,0
0.504,0,3.6,1,9,17.6,0,NA,Standard,0
0.513,0,4.46,1,24,16.2,0,NA,Premium,0
0.57,2,1.11,0,23,75.5,0,APAC,Standard,0
0.4,2,3.69,0,3,25.3,1,NA,Standard,0
0.442,1,0.0,0,42,22.5,2,EU,Premium,1
0.431,5,0.0,1,33,43.9,0,NA,Standard,0
0.4,0,4.13,0,35,30.1,0,EU,Standard,0
0.479,1,2.16,1,2,90.2,0,EU,Basic,0
0.565,4,1.29,1,14,39.5,0,NA,Basic,0
0.503,2,2.89,0,6,53.9,0,APAC,Premium,1
0.532,0,2.21,1,9,29.4,0,EU,Standard,0
0.585,3,1.02,0,41,11.8,0,LATAM,Basic,1
0.6,2,0.0,0,26,30.4,0,LATAM,Standard,0
0.516,0,0.0,0,5,30.6,1,NA,Standard,0
0.601,2,4.48,0,6,30.5,0,APAC,Standard,1
0.526,0,2.16,1,36,13.0,0,APAC,Basic,0
0.47,1,4.94,0,59,47.7,0,EU,Basic,0
0.484,0,2.13,1,14,38.3,1,APAC,Premium,0
0.431,3,3.71,0,2,14.2,3,EU,Premium,1
0.467,1,2.75,0,51,47.1,0,EU,Standard,0
0.499,3,3.09,1,3,60.2,0,NA,Standard,0
0.568,2,3.19,1,17,69.0,2,APAC,AdTier,1
0.623,0,2.11,1,21,0.0,0,LATAM,AdTier,0
0.437,3,0.54,1,7,30.4,0,NA,Standard,0
0.544,2,4.53,0,40,17.6,0,EU,Standard,0
0.458,3,6.19,0,2,32.0,1,NA,AdTier,0
0.548,2,6.32,0,10,72.8,0,APAC,Basic,0
0.512,0,1.89,1,25,30.5,0,NA,Standard,0
0.41,1,1.53,0,7,35.5,0,NA,Standard,0
0.576,2,1.89,0,16,28.4,0,APAC,Standard,0
0.484,2,2.65,0,1,77.5,0,EU,AdTier,0
0.488,4,2.9,0,7,0.0,0,EU,Standard,1
0.456,0,1.0,1,11,33.9,0,EU,AdTier,1
0.481,1,0.04,0,31,27.7,0,APAC,Standard,0
0.546,1,3.1,1,14,10.6,0,NA,Basic,0
0.509,4,0.0,0,18,67.0,1,NA,AdTier,0
0.54,0,2.8,1,18,8.9,1,EU,Standard,1
0.542,3,1.11,0,1,35.8,1,EU,Premium,1
0.599,1,4.56,0,15,43.4,0,EU,Standard,1
0.499,1,5.1,0,23,30.0,1,EU,Basic,0
0.431,5,5.14,0,24,10.3,0,EU,Premium,0
0.584,3,2.31,1,17,41.6,0,NA,Standard,0
0.5,2,0.73,1,11,29.8,2,NA,AdTier,0
0.587,1,1.37,0,3,61.2,0,EU,Standard,0
0.543,2,3.58,0,17,55.3,0,NA,Standard,0
0.512,2,0.0,0,16,83.9,0,LATAM,Premium,0
0.541,2,5.79,1,6,47.2,0,LATAM,Standard,0
0.637,1,2.34,0,50,56.8,0,NA,Basic,0
0.645,5,4.0,0,50,37.8,2,NA,Standard,0
0.524,2,0.0,0,13,79.2,0,NA,Premium,0
0.53,1,1.15,1,8,45.2,1,EU,Basic,1
0.585,3,0.0,0,15,42.9,0,LATAM,Premium,0
0.469,3,5.04,1,49,55.8,0,NA,AdTier,0
0.54,1,2.68,1,3,32.1,0,NA,Basic,0
0.518,2,4.14,0,8,35.0,0,EU,Standard,0
0.539,5,3.13,0,7,55.8,0,EU,Standard,1
0.47,3,3.94,0,18,59.6,1,EU,Standard,0
0.425,5,2.33,1,3,56.9,1,APAC,Premium,0
0.4,0,2.59,0,52,43.4,0,APAC,AdTier,0
0.453,0,2.82,0,11,50.4,0,EU,AdTier,0
0.492,2,3.81,0,5,64.2,1,NA,Standard,1
0.502,1,3.86,1,4,23.1,0,EU,Standard,0
0.636,3,8.62,1,4,45.0,0,EU,Standard,0
0.586,0,6.36,0,37,0.0,3,NA,Premium,1
